     [QUOTE_DATE]  [EXPIRE_DATE]  [C_BID]   [STRIKE]
134    2022-01-03     2022-01-05   177.51      300.0
135    2022-01-03     2022-01-05   172.51      305.0
136    2022-01-03     2022-01-05   167.51      310.0
137    2022-01-03     2022-01-05   162.51      315.0
138    2022-01-03     2022-01-05   157.41      320.0
139    2022-01-03     2022-01-05   152.41      325.0
140    2022-01-03     2022-01-05    147.4      330.0
141    2022-01-03     2022-01-05    142.4      335.0
142    2022-01-03     2022-01-05   137.49      340.0
143    2022-01-03     2022-01-05    132.4      345.0
144    2022-01-03     2022-01-05   127.41      350.0
145    2022-01-03     2022-01-05   122.53      355.0
146    2022-01-03     2022-01-05   117.41      360.0
147    2022-01-03     2022-01-05   112.41      365.0
148    2022-01-03     2022-01-05   107.54      370.0
149    2022-01-03     2022-01-05   102.53      375.0
150    2022-01-03     2022-01-05    97.53      380.0
151    2022-01-03     2022-01-05    92.53      385.0
152    2022-01-03     2022-01-05    87.54      390.0
153    2022-01-03     2022-01-05    82.41      395.0
154    2022-01-03     2022-01-05    77.53      400.0
155    2022-01-03     2022-01-05    72.62      405.0
156    2022-01-03     2022-01-05    67.67      410.0
157    2022-01-03     2022-01-05    65.67      412.0
158    2022-01-03     2022-01-05    64.67      413.0
159    2022-01-03     2022-01-05    63.72      414.0
160    2022-01-03     2022-01-05    62.56      415.0
161    2022-01-03     2022-01-05    61.56      416.0
162    2022-01-03     2022-01-05    59.68      418.0
163    2022-01-03     2022-01-05    57.67      420.0
164    2022-01-03     2022-01-05    55.41      422.0
165    2022-01-03     2022-01-05    53.56      424.0
166    2022-01-03     2022-01-05    52.69      425.0
167    2022-01-03     2022-01-05    51.54      426.0
168    2022-01-03     2022-01-05    49.68      428.0
169    2022-01-03     2022-01-05    47.68      430.0
170    2022-01-03     2022-01-05    45.64      432.0
171    2022-01-03     2022-01-05    43.68      434.0
172    2022-01-03     2022-01-05    42.68      435.0
173    2022-01-03     2022-01-05    41.68      436.0
174    2022-01-03     2022-01-05    39.72      438.0
175    2022-01-03     2022-01-05    37.68      440.0
176    2022-01-03     2022-01-05    35.68      442.0
177    2022-01-03     2022-01-05    34.43      443.0
178    2022-01-03     2022-01-05    33.64      444.0
179    2022-01-03     2022-01-05    32.45      445.0
180    2022-01-03     2022-01-05    31.43      446.0
181    2022-01-03     2022-01-05    30.69      447.0
182    2022-01-03     2022-01-05    29.73      448.0
183    2022-01-03     2022-01-05    27.74      450.0
184    2022-01-03     2022-01-05    25.54      452.0
185    2022-01-03     2022-01-05    24.74      453.0
186    2022-01-03     2022-01-05    23.67      454.0
187    2022-01-03     2022-01-05    22.67      455.0
188    2022-01-03     2022-01-05    21.42      456.0
189    2022-01-03     2022-01-05    20.75      457.0
190    2022-01-03     2022-01-05    19.75      458.0
191    2022-01-03     2022-01-05    18.75      459.0
192    2022-01-03     2022-01-05    17.75      460.0
193    2022-01-03     2022-01-05    16.63      461.0
194    2022-01-03     2022-01-05    15.67      462.0
195    2022-01-03     2022-01-05    14.76      463.0
196    2022-01-03     2022-01-05    13.78      464.0
197    2022-01-03     2022-01-05    12.77      465.0
198    2022-01-03     2022-01-05    11.46      466.0
199    2022-01-03     2022-01-05    10.79      467.0
200    2022-01-03     2022-01-05     9.49      468.0
201    2022-01-03     2022-01-05     8.75      469.0
202    2022-01-03     2022-01-05     7.57      470.0
203    2022-01-03     2022-01-05     6.86      471.0
204    2022-01-03     2022-01-05     5.72      472.0
205    2022-01-03     2022-01-05     5.05      473.0
206    2022-01-03     2022-01-05     4.24      474.0
207    2022-01-03     2022-01-05     3.32      475.0
208    2022-01-03     2022-01-05     2.71      476.0
209    2022-01-03     2022-01-05     1.97      477.0
210    2022-01-03     2022-01-05     1.45      478.0
211    2022-01-03     2022-01-05     0.99      479.0
212    2022-01-03     2022-01-05     0.65      480.0
213    2022-01-03     2022-01-05     0.37      481.0
214    2022-01-03     2022-01-05      0.2      482.0
215    2022-01-03     2022-01-05     0.06      484.0
216    2022-01-03     2022-01-05     0.03      485.0
217    2022-01-03     2022-01-05     0.01      486.0
218    2022-01-03     2022-01-05     0.01      487.0
219    2022-01-03     2022-01-05      0.0      488.0
220    2022-01-03     2022-01-05      0.0      489.0
221    2022-01-03     2022-01-05      0.0      490.0
222    2022-01-03     2022-01-05      0.0      491.0
223    2022-01-03     2022-01-05      0.0      492.0
224    2022-01-03     2022-01-05      0.0      493.0
225    2022-01-03     2022-01-05      0.0      494.0
226    2022-01-03     2022-01-05      0.0      495.0
227    2022-01-03     2022-01-05      0.0      496.0
228    2022-01-03     2022-01-05      0.0      498.0
229    2022-01-03     2022-01-05      0.0      500.0
230    2022-01-03     2022-01-05      0.0      502.0
231    2022-01-03     2022-01-05      0.0      504.0
232    2022-01-03     2022-01-05      0.0      505.0
233    2022-01-03     2022-01-05      0.0      506.0
234    2022-01-03     2022-01-05      0.0      508.0
235    2022-01-03     2022-01-05      0.0      510.0
236    2022-01-03     2022-01-05      0.0      512.0
237    2022-01-03     2022-01-05      0.0      514.0
238    2022-01-03     2022-01-05      0.0      520.0
239    2022-01-03     2022-01-05      0.0      530.0
240    2022-01-03     2022-01-05      0.0      540.0
241    2022-01-03     2022-01-05      0.0      550.0
242    2022-01-03     2022-01-05      0.0      560.0
243    2022-01-03     2022-01-05      0.0      570.0
